customer_id,total_spent,customer_segment,Churn_Probability,Revenue_At_Risk
C094066,20329.01,VIP,0.91,18499.4
C062750,23250.29,New,0.79,18367.73
C021764,18816.23,Loyal,0.97,18251.74
C014921,18781.35,Returning,0.97,18217.91
C075548,19719.22,New,0.92,18141.68
C078142,18461.95,Returning,0.98,18092.71
C090613,19341.1,New,0.93,17987.22
C044260,18921.99,New,0.95,17975.89
C061582,18587.63,VIP,0.96,17844.12
C085907,18744.59,Returning,0.95,17807.36
C030398,18357.22,VIP,0.97,17806.5
C098605,19302.19,Returning,0.92,17758.01
C099826,21587.67,Returning,0.82,17701.89
C069802,18811.92,VIP,0.94,17683.2
C031790,18039.75,New,0.98,17678.95
C061722,20506.48,VIP,0.86,17635.57
C000574,18503.32,Loyal,0.95,17578.15
C006383,19237.39,Returning,0.91,17506.02
C018980,19012.29,Loyal,0.92,17491.31
C007057,18386.6,VIP,0.95,17467.27
C072332,21528.17,Loyal,0.81,17437.82
C052843,20260.0,New,0.86,17423.6
C060856,17662.6,Loyal,0.98,17309.35
C018054,18209.24,Loyal,0.95,17298.78
C069007,19602.85,VIP,0.88,17250.51
C078285,18143.46,New,0.95,17236.29
C011090,17344.37,Loyal,0.98,16997.48
C075393,19314.21,VIP,0.88,16996.5
C064364,19896.31,Loyal,0.85,16911.86
C014779,17585.93,Returning,0.96,16882.49
C030673,18412.12,VIP,0.91,16755.03
C098871,21439.38,Loyal,0.78,16722.72
C043471,17947.78,Loyal,0.93,16691.44
C086850,17883.92,New,0.93,16632.05
C053870,16499.83,New,1.0,16499.83
C098736,17295.33,Returning,0.95,16430.56
C072725,23422.02,Returning,0.7,16395.41
C090692,16627.48,VIP,0.98,16294.93
C040475,18393.0,Returning,0.88,16185.84
C091480,23398.59,Loyal,0.69,16145.03
C095536,16283.49,VIP,0.99,16120.66
C032639,18866.52,Returning,0.85,16036.54
C011894,16118.49,New,0.99,15957.31
C018894,19374.4,VIP,0.82,15887.01
C020042,17060.8,VIP,0.93,15866.54
C069392,15848.51,VIP,0.99,15690.02
C036359,17229.47,VIP,0.91,15678.82
C034787,17022.56,Loyal,0.92,15660.76
C083713,19563.6,VIP,0.8,15650.88
C038692,18382.43,Loyal,0.85,15625.07
C090204,21694.3,New,0.72,15619.9
C076306,15926.72,VIP,0.98,15608.19
C003376,17512.46,Returning,0.88,15410.96
C084510,15706.38,VIP,0.98,15392.25
C053173,16021.88,VIP,0.96,15381.0
C050453,15831.87,Returning,0.97,15356.91
C015810,15623.68,New,0.98,15311.21
C093272,17293.45,VIP,0.88,15218.24
C019838,16186.19,New,0.94,15215.02
C055286,15660.64,Returning,0.97,15190.82
C039090,15624.14,Loyal,0.97,15155.42
C014278,17221.21,VIP,0.88,15154.66
C000152,24002.43,Returning,0.63,15121.53
C092938,16601.11,Loyal,0.91,15107.01
C067813,20839.73,New,0.72,15004.61
C041612,16129.76,Returning,0.93,15000.68
C065973,15139.89,New,0.99,14988.49
C067273,18955.0,Returning,0.79,14974.45
C063444,28237.97,New,0.53,14966.12
C042918,21603.79,VIP,0.69,14906.62
C055339,15321.26,New,0.97,14861.62
C060398,15809.46,New,0.94,14860.89
C044486,16319.48,Loyal,0.91,14850.73
C069297,15301.57,New,0.97,14842.52
C027336,17378.45,Loyal,0.85,14771.68
C088674,16376.68,Returning,0.9,14739.01
C022963,15160.42,Returning,0.97,14705.61
C006323,15806.12,VIP,0.93,14699.69
C084540,15125.35,VIP,0.97,14671.59
C005269,15587.24,Loyal,0.94,14652.01
C011835,15320.8,Loyal,0.95,14554.76
C097753,18616.15,New,0.78,14520.6
C086542,15205.29,VIP,0.95,14445.03
C023818,15509.12,VIP,0.93,14423.48
C040164,15273.47,VIP,0.94,14357.06
C088877,14782.27,New,0.97,14338.8
C012010,14927.91,VIP,0.96,14330.79
C062565,22730.97,Returning,0.63,14320.51
C063097,23356.21,Returning,0.61,14247.29
C061210,14970.96,New,0.95,14222.41
C092555,15381.99,VIP,0.92,14151.43
C069901,15883.4,VIP,0.89,14136.23
C038349,15991.26,Loyal,0.88,14072.31
C030161,14646.27,Loyal,0.96,14060.42
C022161,14316.58,Returning,0.98,14030.25
C041630,15239.73,Returning,0.92,14020.55
C012251,14438.95,Loyal,0.97,14005.78
C071682,14132.39,Loyal,0.99,13991.07
C073388,23223.0,Loyal,0.6,13933.8
C044702,14305.62,New,0.97,13876.45
C082050,19259.26,New,0.72,13866.67
C095283,14124.0,Returning,0.98,13841.52
C038147,21285.07,Returning,0.65,13835.3
C097114,17057.07,Loyal,0.81,13816.23
C088126,14667.49,VIP,0.94,13787.44
C029475,16596.2,Loyal,0.83,13774.85
C017962,26414.58,Returning,0.52,13735.58
C066814,13980.75,New,0.98,13701.14
C062564,14419.28,Returning,0.95,13698.32
C062087,14121.94,Loyal,0.97,13698.28
C043048,15212.48,VIP,0.9,13691.23
C014341,14359.72,New,0.95,13641.73
C057688,17939.98,Loyal,0.76,13634.38
C042353,14287.85,New,0.95,13573.46
C034117,14087.2,New,0.96,13523.71
C012331,19589.65,Loyal,0.69,13516.86
C084606,14807.74,Loyal,0.91,13475.04
C063466,16977.98,Loyal,0.79,13412.6
C074274,13663.09,VIP,0.98,13389.83
C083819,15028.4,Returning,0.89,13375.28
C033079,14039.06,Loyal,0.95,13337.11
C009557,15503.74,VIP,0.86,13333.22
C031571,13542.21,Returning,0.98,13271.37
C054276,15177.24,Loyal,0.87,13204.2
C004443,22760.71,Loyal,0.58,13201.21
C048877,16044.62,New,0.82,13156.59
C001871,17052.57,Loyal,0.77,13130.48
C000898,13232.21,Returning,0.99,13099.89
C067887,13177.56,Returning,0.99,13045.78
C018108,13171.96,New,0.99,13040.24
C041636,13409.89,New,0.97,13007.59
C089115,17663.74,Loyal,0.73,12894.53
C098818,14466.07,Loyal,0.89,12874.8
C032456,13397.04,VIP,0.96,12861.16
C007124,22854.14,New,0.56,12798.32
C086179,13746.32,Loyal,0.93,12784.08
C052659,13177.58,Loyal,0.97,12782.25
C033334,14173.88,VIP,0.9,12756.49
C065526,15513.52,New,0.82,12721.09
C011617,13520.58,Returning,0.94,12709.35
C015562,17622.27,VIP,0.72,12688.03
C004674,13135.76,VIP,0.96,12610.33
C055213,23778.15,New,0.53,12602.42
C001227,16790.8,New,0.75,12593.1
C070968,12979.31,VIP,0.97,12589.93
C018653,13486.29,VIP,0.93,12542.25
C041657,13025.77,New,0.96,12504.74
C027643,20110.35,New,0.62,12468.42
C001033,12579.2,Loyal,0.99,12453.41
C037810,13387.27,Returning,0.93,12450.16
C022231,12520.75,Loyal,0.99,12395.54
C083842,12906.77,Returning,0.96,12390.5
C046067,12730.07,Returning,0.97,12348.17
C098748,12995.95,Loyal,0.95,12346.15
C014637,13104.61,Returning,0.94,12318.33
C057759,12535.1,New,0.98,12284.4
C047162,14958.38,Loyal,0.82,12265.87
C042171,12835.62,Loyal,0.95,12193.84
C029951,19354.49,Loyal,0.63,12193.33
C093366,12807.81,VIP,0.95,12167.42
C056039,12405.62,Loyal,0.98,12157.51
C010903,14130.08,Returning,0.86,12151.87
C099235,19691.22,New,0.61,12011.64
C066584,13049.14,Returning,0.92,12005.21
C076043,19031.76,New,0.63,11990.01
C099357,12487.82,Loyal,0.96,11988.31
C056420,14407.02,VIP,0.83,11957.83
C008287,12366.19,New,0.96,11871.54
C076125,13190.23,New,0.9,11871.21
C010642,21180.06,Loyal,0.56,11860.83
C048628,12678.22,New,0.93,11790.74
C043003,12361.13,VIP,0.95,11743.07
C097872,15440.62,New,0.76,11734.87
C043651,20896.26,Returning,0.56,11701.91
C039075,13927.25,VIP,0.84,11698.89
C091308,15368.14,Returning,0.76,11679.79
C086856,12285.56,Loyal,0.95,11671.28
C016867,11762.18,VIP,0.99,11644.56
C074394,12914.88,Returning,0.9,11623.39
C028212,17861.17,New,0.65,11609.76
C001854,11967.79,New,0.97,11608.76
C090590,11952.84,Loyal,0.97,11594.25
C066241,12172.74,Loyal,0.95,11564.1
C035067,11779.28,VIP,0.98,11543.69
C029510,18303.53,New,0.63,11531.22
C070849,12382.37,VIP,0.93,11515.6
C046465,13707.12,Loyal,0.84,11513.98
C018467,13075.6,Loyal,0.88,11506.53
C027381,21699.83,New,0.53,11500.91
C058356,20477.49,New,0.56,11467.39
C026636,17112.59,VIP,0.67,11465.44
C094313,12062.93,Loyal,0.95,11459.78
C001415,12056.57,Loyal,0.95,11453.74
C010449,11440.98,New,1.0,11440.98
C017053,17505.81,New,0.65,11378.78
C044203,12312.37,New,0.92,11327.38
C000950,11542.11,Returning,0.98,11311.27
C050864,11653.8,VIP,0.97,11304.19
C057439,13132.49,Returning,0.86,11293.94
C071512,11508.04,Loyal,0.98,11277.88
C055208,11621.18,Loyal,0.97,11272.54
C083840,11736.77,New,0.96,11267.3
C048747,11964.95,VIP,0.94,11247.05
C014545,11468.16,New,0.98,11238.8
C038837,11950.75,Loyal,0.94,11233.7
C061436,14213.94,VIP,0.79,11229.01
C025687,11571.93,New,0.97,11224.77
C061756,12465.08,Loyal,0.9,11218.57
C057673,26058.01,Returning,0.43,11204.94
C055139,11549.28,New,0.97,11202.8
C055418,12585.91,Returning,0.89,11201.46
C069656,11423.19,New,0.98,11194.73
C061512,11772.68,Returning,0.95,11184.05
C095771,11288.91,New,0.99,11176.02
C009871,11618.05,Loyal,0.96,11153.33
C088992,11724.08,VIP,0.95,11137.88
C072788,15830.78,Loyal,0.7,11081.55
C093388,12872.82,VIP,0.86,11070.63
C059986,11642.69,Returning,0.95,11060.56
C081834,12708.56,New,0.87,11056.45
C054685,11874.04,Loyal,0.93,11042.86
C010332,12133.61,Returning,0.91,11041.59
C088234,12113.68,New,0.91,11023.45
C084541,12241.24,Loyal,0.9,11017.12
C073511,15921.91,Returning,0.69,10986.12
C043707,11055.73,New,0.99,10945.17
C037562,13152.85,Returning,0.83,10916.87
C093425,16053.24,Returning,0.68,10916.2
C078878,11462.22,New,0.95,10889.11
C026768,10876.88,Returning,1.0,10876.88
C002953,20137.61,New,0.54,10874.31
C030910,10979.82,Loyal,0.99,10870.02
C045402,11406.76,New,0.95,10836.42
C097416,11824.53,New,0.91,10760.32
C038721,11694.81,VIP,0.92,10759.23
C034383,11086.84,Loyal,0.97,10754.23
C020901,11189.32,VIP,0.96,10741.75
C029515,11390.95,VIP,0.94,10707.49
C073280,12152.85,New,0.88,10694.51
C086447,10851.21,Returning,0.98,10634.19
C075518,11794.99,Loyal,0.9,10615.49
C017647,12924.54,Returning,0.82,10598.12
C062154,13585.56,Loyal,0.78,10596.74
C086698,16046.07,VIP,0.66,10590.41
C017147,11028.83,New,0.96,10587.68
C017137,14500.62,VIP,0.73,10585.45
C003943,10791.29,Returning,0.98,10575.46
C035991,11851.46,Loyal,0.89,10547.8
C001092,13697.41,Loyal,0.77,10547.01
C066332,11100.01,VIP,0.95,10545.01
C089382,12120.67,Returning,0.87,10544.98
C013394,11841.62,New,0.89,10539.04
C069785,11211.01,New,0.94,10538.35
C095868,10752.85,New,0.98,10537.79
C083963,11438.43,VIP,0.92,10523.36
C096556,12227.82,Loyal,0.86,10515.93
C094041,13606.81,New,0.77,10477.24
C086139,10534.01,Returning,0.99,10428.67
C070634,11276.91,Loyal,0.92,10374.76
C040595,10473.67,Returning,0.99,10368.93
C004965,10470.52,New,0.99,10365.81
C081745,10887.16,New,0.95,10342.8
C090791,10545.31,Returning,0.98,10334.4
C084995,11098.21,Loyal,0.93,10321.34
C037235,12263.01,VIP,0.84,10300.93
C084396,10402.15,Loyal,0.99,10298.13
C017743,11192.3,VIP,0.92,10296.92
C024324,14492.09,New,0.71,10289.38
C025130,10557.82,VIP,0.97,10241.09
C097203,12608.26,VIP,0.81,10212.69
C013126,10849.91,New,0.94,10198.92
C003173,10297.26,VIP,0.99,10194.29
C096679,11453.14,Loyal,0.89,10193.29
C058889,11076.79,VIP,0.92,10190.65
C021178,11439.57,Returning,0.89,10181.22
C025632,10944.35,Loyal,0.93,10178.25
C003032,10275.34,Loyal,0.99,10172.59
C016988,11017.07,Loyal,0.92,10135.7
C045447,10528.69,New,0.96,10107.54
C013397,10313.13,VIP,0.98,10106.87
C043491,10414.34,VIP,0.97,10101.91
C064408,10975.0,Returning,0.92,10097.0
C023312,11336.51,Loyal,0.89,10089.49
C038754,10590.84,Returning,0.95,10061.3
C034041,11141.37,VIP,0.9,10027.23
C034971,10227.47,Loyal,0.98,10022.92
C029557,11508.5,VIP,0.87,10012.4
C098183,17251.96,Loyal,0.58,10006.14
C057516,11087.18,VIP,0.9,9978.46
C088348,10286.48,Returning,0.97,9977.89
C019665,10724.36,Loyal,0.93,9973.65
C069753,13289.17,New,0.75,9966.88
C032833,18735.85,New,0.53,9930.0
C093882,10909.05,Returning,0.91,9927.24
C039214,10217.07,Loyal,0.97,9910.56
C020550,9883.56,New,1.0,9883.56
C099076,10606.34,Returning,0.93,9863.9
C098589,9862.21,New,1.0,9862.21
C077753,10833.85,New,0.91,9858.8
C011807,20514.72,Loyal,0.48,9847.07
C062259,11576.6,New,0.85,9840.11
C031060,10809.84,Returning,0.91,9836.95
C070864,11550.99,VIP,0.85,9818.34
C069878,12264.54,Returning,0.8,9811.63
C017700,11533.68,Returning,0.85,9803.63
C029516,10203.5,VIP,0.96,9795.36
C072042,10081.7,Loyal,0.97,9779.25
C006510,12377.48,VIP,0.79,9778.21
C076081,10626.57,VIP,0.92,9776.44
C057250,15275.12,VIP,0.64,9776.08
C077400,9965.4,Returning,0.98,9766.09
C095133,10029.85,Returning,0.97,9728.95
C049244,10454.35,Returning,0.93,9722.55
C007101,10923.84,Loyal,0.89,9722.22
C013024,10674.19,Returning,0.91,9713.51
C016880,10100.98,Loyal,0.96,9696.94
C027100,16988.4,Loyal,0.57,9683.39
C069946,10255.53,Loyal,0.94,9640.2
C092520,24683.53,New,0.39,9626.58
C007733,11318.97,VIP,0.85,9621.12
C070744,10426.45,New,0.92,9592.33
C056182,10082.06,VIP,0.95,9577.96
C065355,10081.29,New,0.95,9577.23
C017934,12738.03,Returning,0.75,9553.52
C086209,11336.73,Loyal,0.84,9522.85
C020493,10819.58,Returning,0.88,9521.23
C073485,20580.64,Loyal,0.46,9467.09
C079194,9537.1,Loyal,0.99,9441.73
C057422,9631.36,Loyal,0.98,9438.73
C026488,9762.69,Returning,0.96,9372.18
C081699,9657.39,New,0.97,9367.67
C094642,10062.2,Loyal,0.93,9357.85
C096960,9606.48,Loyal,0.97,9318.29
C099817,9601.56,Returning,0.97,9313.51
C007687,9491.03,Returning,0.98,9301.21
C037116,11914.9,VIP,0.78,9293.62
C064138,9454.53,VIP,0.98,9265.44
C069593,9524.99,Loyal,0.97,9239.24
C060420,9711.6,Loyal,0.95,9226.02
C089660,9316.42,Loyal,0.99,9223.26
C061951,9498.4,VIP,0.97,9213.45
C001228,11374.09,New,0.81,9213.01
C081116,10006.06,New,0.92,9205.58
C009142,9561.53,Loyal,0.96,9179.07
C047572,9362.23,New,0.98,9174.99
C029268,9166.06,Loyal,1.0,9166.06
C043659,9438.95,Returning,0.97,9155.78
C022472,12704.22,VIP,0.72,9147.04
C071057,9621.26,Returning,0.95,9140.2
C067404,9709.49,Loyal,0.94,9126.92
C041381,9211.56,VIP,0.99,9119.44
C031283,11375.47,New,0.8,9100.38
C054447,9755.78,Returning,0.93,9072.88
C048579,14297.58,Returning,0.63,9007.48
C079272,9001.7,VIP,1.0,9001.7
C060487,10001.05,VIP,0.9,9000.94
C026465,9960.62,Loyal,0.9,8964.56
C088082,9939.75,Loyal,0.9,8945.78
C066035,8941.52,New,1.0,8941.52
C030954,9312.75,Loyal,0.96,8940.24
C047227,17109.01,New,0.52,8896.69
C037626,10846.97,Loyal,0.82,8894.52
C053956,9859.92,VIP,0.9,8873.93
C078483,21113.11,VIP,0.42,8867.51
C046399,9962.22,Returning,0.89,8866.38
C097487,10670.07,New,0.83,8856.16
C082500,11784.93,New,0.75,8838.7
C056425,9709.79,New,0.91,8835.91
C035426,10152.6,Loyal,0.87,8832.76
C092482,10261.72,Loyal,0.86,8825.08
C004152,8819.78,VIP,1.0,8819.78
C028645,12393.9,Returning,0.71,8799.67
C026459,10114.16,VIP,0.87,8799.32
C032585,8977.62,Loyal,0.98,8798.07
C012173,9775.6,VIP,0.9,8798.04
C083860,20935.71,New,0.42,8793.0
C069902,9629.41,Returning,0.91,8762.76
C022354,20366.31,New,0.43,8757.51
C046727,11519.9,Returning,0.76,8755.12
C037470,11979.17,VIP,0.73,8744.79
C036062,9085.28,Loyal,0.96,8721.87
C090262,9073.88,VIP,0.96,8710.92
C014828,9152.37,New,0.95,8694.75
C053191,11748.53,Loyal,0.74,8693.91
C047630,9983.21,New,0.87,8685.39
C063920,8828.29,VIP,0.98,8651.72
C014965,9291.75,VIP,0.93,8641.33
C099074,8727.4,VIP,0.99,8640.13
C079663,8805.23,New,0.98,8629.13
C041753,10913.98,VIP,0.79,8622.04
C082562,8706.2,Loyal,0.99,8619.14
C033834,8967.44,VIP,0.96,8608.74
C066710,8584.87,Loyal,1.0,8584.87
C068842,11747.54,New,0.73,8575.7
C015275,8707.51,New,0.98,8533.36
C061670,9048.16,Loyal,0.94,8505.27
C070997,8847.67,Returning,0.96,8493.76
C099683,10585.52,Returning,0.8,8468.42
C015371,23493.2,New,0.36,8457.55
C065361,8618.36,Returning,0.98,8445.99
C049530,10167.41,New,0.83,8438.95
C004014,8692.79,VIP,0.97,8432.01
C089193,10277.38,New,0.82,8427.45
C000591,8862.16,Loyal,0.95,8419.05
C040701,18289.96,Returning,0.46,8413.38
C050615,9660.6,VIP,0.87,8404.72
C091233,11498.01,VIP,0.73,8393.55
C022515,9024.53,Returning,0.93,8392.81
C071846,8556.97,Returning,0.98,8385.83
C004403,13094.76,VIP,0.64,8380.65
C056710,13727.65,New,0.61,8373.87
C031121,8715.12,Returning,0.96,8366.52
C076606,13065.24,VIP,0.64,8361.75
C012634,9394.28,Returning,0.89,8360.91
C003352,18155.14,New,0.46,8351.36
C026065,8848.89,VIP,0.94,8317.96
C043181,8315.77,New,1.0,8315.77
C076700,9424.0,VIP,0.88,8293.12
C046153,9013.87,VIP,0.92,8292.76
C068544,8461.06,Returning,0.98,8291.84
C087632,9310.32,VIP,0.89,8286.18
C079937,8628.99,Returning,0.96,8283.83
C054967,8422.62,VIP,0.98,8254.17
C007113,8597.63,VIP,0.96,8253.72
C099708,10438.59,New,0.79,8246.49
C095540,9917.99,New,0.83,8231.93
C028257,12276.82,Loyal,0.67,8225.47
C071023,9909.47,VIP,0.83,8224.86
C063825,8649.16,Loyal,0.95,8216.7
C088347,8711.74,Returning,0.94,8189.04
C035531,9094.35,New,0.9,8184.92
C083728,8434.45,Loyal,0.97,8181.42
C001142,8257.72,VIP,0.99,8175.14
C067442,8695.74,Loyal,0.94,8174.0
C077855,10608.29,VIP,0.77,8168.38
C074644,23330.26,New,0.35,8165.59
C002959,8321.53,New,0.98,8155.1
C034402,8294.56,Loyal,0.98,8128.67
C050131,13092.25,New,0.62,8117.2
C013897,13042.02,Loyal,0.62,8086.05
C091212,10639.33,Loyal,0.76,8085.89
C045895,9176.38,New,0.88,8075.21
C073096,8309.07,New,0.97,8059.8
C047105,12193.58,New,0.66,8047.76
C080261,8295.49,Returning,0.97,8046.63
C059345,8279.48,New,0.97,8031.1
C025663,8354.71,Returning,0.96,8020.52
C081486,8262.3,VIP,0.97,8014.43
C005749,8261.58,Loyal,0.97,8013.73
C046195,8001.3,VIP,1.0,8001.3
C059964,26668.32,VIP,0.3,8000.5
C004146,8241.87,VIP,0.97,7994.61
C050276,8218.84,New,0.97,7972.27
C026793,8646.78,Loyal,0.92,7955.04
C061570,8932.94,Returning,0.89,7950.32
C042698,8632.23,New,0.92,7941.65
C092040,8262.48,Loyal,0.96,7931.98
C052273,9219.25,Returning,0.86,7928.56
C081641,9326.96,Loyal,0.85,7927.92
C081492,8800.14,Returning,0.9,7920.13
C092454,14376.92,New,0.55,7907.31
C083075,10965.3,Returning,0.72,7895.02
C067226,7950.88,Returning,0.99,7871.37
C070685,8106.83,Returning,0.97,7863.63
C031267,8275.81,Returning,0.95,7862.02
C025322,8089.92,Loyal,0.97,7847.22
C099626,7983.41,Loyal,0.98,7823.74
C072528,10865.66,Loyal,0.72,7823.28
C013813,22997.25,Returning,0.34,7819.06
C007069,8312.05,Returning,0.94,7813.33
C089709,8308.2,VIP,0.94,7809.71
C027438,8395.14,Returning,0.93,7807.48
C027265,8048.37,New,0.97,7806.92
C013565,8124.9,Loyal,0.96,7799.9
C064349,9391.58,VIP,0.83,7795.01
C083881,8280.8,VIP,0.94,7783.95
C068431,7862.44,VIP,0.99,7783.82
C010721,7773.95,Returning,1.0,7773.95
C038437,20978.1,Loyal,0.37,7761.9
C030068,8233.95,Returning,0.94,7739.91
C041609,8406.02,VIP,0.92,7733.54
C070577,8212.65,VIP,0.94,7719.89
C039796,7863.24,New,0.98,7705.98
C004277,7782.2,Returning,0.99,7704.38
C082426,7770.13,Loyal,0.99,7692.43
C087854,8929.09,New,0.86,7679.02
C083529,7907.73,Returning,0.97,7670.5
C078989,7827.02,Returning,0.98,7670.48
C017077,7970.8,Returning,0.96,7651.97
C020371,8307.28,VIP,0.92,7642.7
C068845,8124.12,VIP,0.94,7636.67
C025842,9779.5,Returning,0.78,7628.01
C025753,8766.03,New,0.87,7626.45
C041488,8104.59,Loyal,0.94,7618.31
C035024,8098.0,Returning,0.94,7612.12
C010830,7832.13,Returning,0.97,7597.17
C077209,14888.66,Loyal,0.51,7593.22
C079421,7825.27,VIP,0.97,7590.51
C008755,10112.87,VIP,0.75,7584.65
C043617,13056.25,New,0.58,7572.62
C077296,7645.04,VIP,0.99,7568.59
C028006,8889.68,Returning,0.85,7556.23
C027638,7630.38,New,0.99,7554.08
C008021,15413.58,Returning,0.49,7552.65
C020102,13245.45,New,0.57,7549.91
C016991,7703.08,Returning,0.98,7549.02
C069046,7622.81,Loyal,0.99,7546.58
C078198,8189.74,VIP,0.92,7534.56
C079122,7929.59,VIP,0.95,7533.11
C072156,8368.08,New,0.9,7531.27
C011201,7761.75,Returning,0.97,7528.9
C069665,8177.6,New,0.92,7523.39
C093258,8358.97,VIP,0.9,7523.07
C022614,7830.34,Returning,0.96,7517.13
C087502,7829.82,Returning,0.96,7516.63
C046448,7737.32,Loyal,0.97,7505.2
C032205,9132.05,VIP,0.82,7488.28
C094497,7635.36,Returning,0.98,7482.65
C057605,7783.04,Returning,0.96,7471.72
C097282,13826.12,New,0.54,7466.1
C086450,11128.98,VIP,0.67,7456.42
C016459,7607.56,Returning,0.98,7455.41
C094708,7590.73,Loyal,0.98,7438.92
C072671,7577.83,Loyal,0.98,7426.27
C095964,7732.52,New,0.96,7423.22
C073474,7813.78,New,0.95,7423.09
C055733,7652.53,VIP,0.97,7422.95
C077007,7976.78,Returning,0.93,7418.41
C040551,9875.51,VIP,0.75,7406.63
C072002,7879.08,Loyal,0.94,7406.34
C093561,8318.14,Loyal,0.89,7403.14
C084866,8698.97,Loyal,0.85,7394.12
C075030,9123.63,Returning,0.81,7390.14
C085256,7942.47,VIP,0.93,7386.5
C081635,7683.19,New,0.96,7375.86
C003800,7601.11,Returning,0.97,7373.08
C029675,7447.37,Returning,0.99,7372.9
C015132,8100.46,New,0.91,7371.42
C034668,7758.48,Loyal,0.95,7370.56
C017774,7511.85,Loyal,0.98,7361.61
C045527,9806.21,Loyal,0.75,7354.66
C046182,7498.63,VIP,0.98,7348.66
C076530,7891.7,New,0.93,7339.28
C003834,7797.12,Returning,0.94,7329.29
C039707,7958.77,New,0.92,7322.07
C065696,7952.67,New,0.92,7316.46
C089962,7620.82,New,0.96,7315.99
C049882,7542.21,Returning,0.97,7315.94
C023187,7384.8,New,0.99,7310.95
C076842,7455.49,VIP,0.98,7306.38
C052858,7374.99,New,0.99,7301.24
C029984,8192.03,New,0.89,7290.91
C075589,7434.27,Loyal,0.98,7285.58
C063755,7570.58,New,0.96,7267.76
C085996,11180.06,Returning,0.65,7267.04
C059280,7627.21,VIP,0.95,7245.85
C066476,7242.32,Returning,1.0,7242.32
C089169,8219.77,VIP,0.88,7233.4
C087706,7597.06,VIP,0.95,7217.21
C006782,7356.46,New,0.98,7209.33
C001236,7429.76,New,0.97,7206.87
C009352,7913.49,Loyal,0.91,7201.28
C064672,7265.88,Loyal,0.99,7193.22
C000922,8256.66,New,0.87,7183.29
C055538,7893.26,VIP,0.91,7182.87
C022333,7543.9,New,0.95,7166.7
C012267,7237.11,Returning,0.99,7164.74
C093338,7372.08,VIP,0.97,7150.92
C026457,7766.53,VIP,0.92,7145.21
C070755,7364.42,Returning,0.97,7143.49
C066342,7211.94,New,0.99,7139.82
C074846,7511.21,VIP,0.95,7135.65
C041857,7277.68,VIP,0.98,7132.13
C052882,7350.54,New,0.97,7130.02
C095907,7193.61,Returning,0.99,7121.67
C032879,8090.45,Returning,0.88,7119.6
C034768,7402.34,Returning,0.96,7106.25
C095794,7315.63,New,0.97,7096.16
C056030,8249.03,New,0.86,7094.17
C052984,8344.43,Loyal,0.85,7092.77
C088806,7465.19,VIP,0.95,7091.93
C090974,7234.69,Returning,0.98,7090.0
C038444,8536.26,Returning,0.83,7085.1
C047944,7700.62,Returning,0.92,7084.57
C084254,7227.53,New,0.98,7082.98
C090722,7225.62,VIP,0.98,7081.11
C073779,8629.97,Returning,0.82,7076.58
C052123,7142.01,New,0.99,7070.59
C092480,10383.44,Loyal,0.68,7060.74
C074122,7204.63,Loyal,0.98,7060.54
C089880,12832.43,VIP,0.55,7057.84
C095083,7115.66,Returning,0.99,7044.5
C039670,7741.02,Returning,0.91,7044.33
C057885,7330.81,New,0.96,7037.58
C069629,7324.12,Returning,0.96,7031.16
C012086,7095.54,New,0.99,7024.58
C029695,7240.44,New,0.97,7023.23
